gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
YDR511W	YDR511W	4	52	1.70819	0.81304	0.03596	0.99857	0.99533	0.98715	1.00958	1.00325	1.02311
YDR512C	YDR512C	8	104	1.40144	0.63573	0.02226	1.02520	1.00895	1.02048	1.01163	1.00294	1.01260
TTR1	YDR513W	4	52	2.58844	1.40234	0.03569	1.00170	0.99715	1.00524	0.98475	0.97851	0.96954
YDR514C	YDR514C	4	52	0.22592	0.02263	0.00957	0.99898	1.00086	1.00482	1.00854	1.00052	1.00439
SLF1	YDR515W	4	52	1.12345	0.44032	0.02653	1.00008	1.00170	1.00435	0.99518	0.99253	1.01905
YDR516C	YDR516C	2	26	7.12934	3.11020	0.19531	0.95964	1.07930	0.88398	0.93097	1.02508	1.00639
GRH1	YDR517W	4	52	0.82887	0.27047	0.01749	1.00817	1.01259	1.00512	1.00226	0.99816	0.99510
EUG1	YDR518W	0	0									
fkb2	YDR519W	4	52	0.14843	0.00903	0.00905	0.99535	0.99738	0.98834	0.99161	0.99329	0.99465
YDR520C	YDR520C	4	52	1.92325	0.95578	0.03010	1.00016	0.99625	1.01449	0.99654	0.99549	0.98439
YDR521W	YDR521W	4	52	2.92578	1.62818	0.02733	1.00892	1.00707	0.99736	1.00499	0.99925	0.98159
SPS2	YDR522C	4	52	2.90425	1.61382	0.02896	1.00140	1.00181	1.00727	1.01149	1.00407	0.98253
SPS1	YDR523C	4	52	0.86820	0.29201	0.01617	1.00459	0.99563	0.98952	1.00399	0.99164	0.98842
AGE1	YDR524C	2	26	4.31289	2.02851	0.03132	0.99908	1.00123	0.99358	0.97752	0.96991	0.98019
YDR525W	YDR525W	4	52	2.38015	1.26233	0.02610	1.00440	0.98812	0.99988	0.99940	0.97830	0.98403
YDR525W-A	YDR525W-A	3	39	1.93550	0.92899	0.03650	1.01639	1.00453	1.00018	0.99454	0.99724	0.97990
YDR526C	YDR526C	4	52	0.67211	0.18923	0.01725	1.00812	1.00324	1.00428	0.99087	0.99468	1.00062
YDR527W	YDR527W	4	52	2.20323	1.14338	0.02931	0.99043	1.00628	0.99791	0.99872	0.99894	0.97697
HLR1	YDR528W	4	52	0.87115	0.29365	0.01930	1.00995	1.01036	1.00555	1.01424	0.99700	1.01630
QCR7	YDR529C	4	52	2.81576	1.55471	0.02315	1.01313	1.00132	0.99400	1.01200	0.98998	1.00592
APA2	YDR530C	2	26	2.26117	1.03480	0.02908	0.99517	1.00761	0.97853	0.99842	0.98326	0.99186
YDR531W	YDR531W	3	39	1.63678	0.74309	0.02597	1.00952	0.99381	0.99508	0.99001	0.98355	0.98405
YDR532C	YDR532C	2	26	8.50137	3.54944	0.05005	1.03257	0.98769	1.01265	1.03773	0.99729	0.99509
YDR533C	YDR533C	4	52	0.12914	0.00660	0.00512	1.00533	1.00440	1.00077	1.00033	1.00021	1.00465
YDR534C	YDR534C	4	52	0.45090	0.09140	0.01269	1.00196	1.00287	1.00304	1.01465	1.00947	1.00721
YDR535C	YDR535C	4	52	2.28590	1.19895	0.02719	1.00315	0.99574	0.99144	0.98552	0.97596	0.98403
STL1	YDR536W	4	52	2.37875	1.26139	0.03457	1.01663	1.01502	1.00907	1.00708	0.98206	1.00150
YDR537C	YDR537C	4	52	2.75602	1.51472	0.02499	1.01081	1.01891	1.00107	1.02512	1.02606	1.00435
PAD1	YDR538W	4	52	2.21306	1.14998	0.02873	1.00884	1.00815	1.00989	1.00276	0.98116	1.00124
YDR539W	YDR539W	4	52	2.50291	1.34488	0.03758	1.02842	1.01680	1.00873	1.00974	0.99084	1.00544
YDR540C	YDR540C	2	26	6.00258	2.71035	0.04448	1.00526	1.00486	0.99371	0.96827	0.96078	0.98599
YDR541C	YDR541C	4	52	1.04280	0.39208	0.01739	1.01360	1.00848	1.00279	1.00312	0.99621	0.99640
YEL001C	YEL001C	4	52	2.61377	1.41934	0.03327	0.96848	0.99432	0.99167	0.97161	0.96105	0.98441
WBP1	YEL002C	4	52	4.92752	2.91139	0.04974	0.97853	0.97885	0.99765	0.98584	0.98297	1.02827
GIM4	YEL003W	4	47	0.47591	0.10138	0.08681	0.95519	1.03263	0.98131	1.02223	0.94582	0.98034
YEA4	YEL004W	4	52	1.52540	0.69341	0.02190	0.98825	0.98912	1.00762	0.99021	0.99536	1.01015
VAB2	YEL005C	4	47	0.68723	0.19646	0.12318	0.91024	1.03342	0.96745	0.99557	0.93183	0.98588
YEL006W	YEL006W	2	26	1.70127	0.73202	0.03356	0.97833	0.96195	0.99120	0.97598	0.98379	0.99550
TOS9	YEL007W	2	26	3.25394	1.54026	0.02110	0.97590	0.98710	0.98817	0.99701	0.99605	0.98034
YEL008W	YEL008W	4	52	2.89150	1.60531	0.02687	0.97718	0.99379	0.98964	0.99557	1.00405	0.99699
GCN4	YEL009C	4	52	4.37853	2.57127	0.05394	0.98183	0.98113	0.98814	1.00697	0.99314	1.03507
YEL010W	YEL010W	4	52	2.17586	1.12499	0.03025	0.97618	0.98677	0.99722	0.96697	0.98247	0.98890
glc3	YEL011W	4	52	2.08629	1.06487	0.01851	0.99581	0.98002	0.98661	0.97730	0.98086	0.99051
UBC8	YEL012W	4	52	6.63992	3.91077	0.05026	0.99436	0.99159	1.01677	0.98087	0.96651	1.00591
VAC8	YEL013W	4	52	4.41595	2.59476	0.02362	0.97012	0.99016	0.98269	0.96654	0.98545	0.98705
YEL014C	YEL014C	4	52	4.13264	2.41585	0.02863	0.97237	0.98491	0.98223	0.99236	0.99074	1.00100
YEL015W	YEL015W	4	52	1.38762	0.60477	0.02421	0.96956	0.96837	0.98994	0.97069	0.96871	0.99258
YEL016C	YEL016C	4	52	2.68162	1.46487	0.03073	0.98936	0.97511	1.00347	0.98027	0.97984	1.00584
PMP2	YEL017C-A	3	39	1.30497	0.54018	0.03498	0.98275	0.98142	0.99254	0.98464	0.98231	1.01640
YEL017W	YEL017W	2	26	7.89937	3.36256	0.05970	0.97985	0.96650	0.98528	0.99838	0.93868	0.96344
YEL018W	YEL018W	4	52	3.49814	2.00648	0.02926	0.97027	0.97976	0.98756	0.97859	0.98157	0.99953
MMS21	YEL019C	4	52	2.70292	1.47915	0.02741	0.98616	0.98334	0.99839	0.97741	0.98559	1.00482
YEL020C	YEL020C	3	39	2.28633	1.14779	0.05254	0.98668	0.97561	0.98481	0.99658	0.97776	1.02815
YEL023C	YEL023C	4	52	7.33360	4.29008	0.06530	0.96920	0.96142	0.98002	0.97837	0.96299	1.02672
RIP1	YEL024W	4	52	31.55790	12.47239	0.09424	0.98511	0.93070	0.99864	0.96290	0.90440	0.94116
SRI1	YEL025C	4	52	3.29423	1.87257	0.03918	0.97764	0.99055	0.98159	0.99663	0.98517	1.01681
SNU13	YEL026W	4	52	1.27666	0.53467	0.01654	0.98732	0.99009	0.98866	0.98377	0.98651	1.00032
cup5	YEL027W	4	52	9.06161	5.17681	0.04242	0.98724	0.96658	1.00900	0.97490	0.97461	1.00114
YEL028W	YEL028W	4	52	4.56721	2.68925	0.04924	0.98804	0.97901	1.00929	0.96005	0.98048	1.00448
BUD16	YEL029C	4	52	4.14321	2.42258	0.02126	0.97623	0.99179	0.99146	0.98018	0.99749	0.99569
ECM10	YEL030W	2	26	10.67579	4.16011	0.13187	0.97262	0.98279	0.96057	1.03987	0.99930	1.09244
SPF1	YEL031W	4	52	3.02666	1.69538	0.02804	0.97692	0.97895	0.98386	0.98795	0.98443	1.00496
mcm3	YEL032W	4	52	2.78742	1.53575	0.02911	0.97704	0.98649	0.99654	0.98945	0.97909	1.00616
YEL033W	YEL033W	4	52	3.53103	2.02798	0.03078	0.96049	0.97985	0.96889	0.95648	0.97404	0.98725
HYP2	YEL034W	4	52	3.55148	2.04133	0.03760	0.96516	0.98671	0.98063	0.94911	0.96422	0.98003
UTR5	YEL035C	4	52	6.96578	4.09071	0.05068	0.95166	0.96354	0.96419	0.95584	0.94821	0.99889
anp1	YEL036C	4	52	3.72034	2.15115	0.02556	0.98370	0.99257	0.99777	0.99626	1.00926	0.99609
rad23	YEL037C	4	52	1.71017	0.81435	0.01557	0.97973	0.99117	0.99530	0.98188	0.99042	0.98714
UTR4	YEL038W	2	26	0.68407	0.19281	0.01221	0.98408	0.99613	0.99058	0.98592	0.99315	0.98393
cyc7	YEL039C	2	26	38.04028	8.22953	0.06968	0.99205	0.99037	1.03202	0.96382	0.96234	1.00648
UTR2	YEL040W	4	52	1.39842	0.61166	0.02346	0.98490	0.99052	1.00642	0.98296	0.99552	0.99717
YEL041W	YEL041W	0	0									
GDA1	YEL042W	2	26	6.91449	3.03690	0.06333	0.96305	0.97465	0.96053	1.01476	0.99878	1.02385
YEL043W	YEL043W	4	52	2.03356	1.02953	0.02710	0.97704	0.98178	0.99099	0.98671	0.99574	1.00414
YEL044W	YEL044W	4	52	6.41812	3.78647	0.03257	0.98821	0.98096	1.00958	0.98106	0.98031	1.01289
YEL045C	YEL045C	2	26	0.82591	0.26157	0.01369	0.99532	0.98857	1.00227	0.99407	0.99651	0.99505
GLY1	YEL046C	2	26	11.87894	4.46170	0.03546	0.99376	0.98951	1.00633	0.97087	0.97738	0.99062
YEL047C	YEL047C	4	52	5.11481	3.02522	0.04550	0.98942	0.99123	1.00320	0.99919	0.98268	1.02818
YEL048C	YEL048C	4	52	2.49930	1.34245	0.01907	0.98295	0.99134	0.98637	0.98846	1.00202	0.99148
PAU2	YEL049W	4	52	2.69943	1.47681	0.02013	0.97889	0.99477	0.99387	0.99282	0.99902	0.99386
RML2	YEL050C	4	52	28.19661	11.68618	0.07862	0.98403	0.95605	0.99789	0.98223	0.91927	0.94545
VMA8	YEL051W	4	52	3.68727	2.12971	0.03507	0.98499	0.98636	0.99744	0.98966	0.97075	1.00581
AFG1	YEL052W	2	26	0.70178	0.20113	0.01138	0.98672	0.97797	0.98888	0.98423	0.97916	0.98935
mak10	YEL053C	4	52	3.39201	1.93692	0.03872	0.97141	0.97675	0.97868	0.99566	0.99047	1.01013
RPL12A	YEL054C	4	52	21.22650	9.80368	0.09531	0.92097	0.96255	0.92965	0.92524	0.96214	1.01628
POL5	YEL055C	2	26	5.84446	2.65101	0.04857	1.00170	0.98252	1.00889	0.96031	0.96784	1.00065
HAT2	YEL056W	4	52	0.37695	0.06466	0.01202	0.99135	0.98451	0.99654	0.98938	0.99277	0.99315
YEL057C	YEL057C	4	52	3.62321	2.08808	0.02804	0.98796	0.99487	0.99925	0.99605	0.99359	1.01600
PCM1	YEL058W	4	52	1.52681	0.69433	0.01657	0.97790	0.98130	0.99038	0.98219	0.99152	0.99447
YEL059W	YEL059W	4	52	6.05076	3.57729	0.03802	0.97969	0.99423	0.99384	0.99132	1.00273	1.01771
prb1	YEL060C	4	52	1.53590	0.70023	0.01175	0.98868	0.99672	0.99801	0.98997	0.99248	1.00043
CIN8	YEL061C	2	26	3.98316	1.88197	0.03330	0.97691	0.98680	0.97920	1.00509	1.01021	0.99439
NPR2	YEL062W	4	52	5.06190	2.99318	0.02529	0.98697	0.99093	1.01005	0.98477	0.98572	1.00874
can1	YEL063C	4	52	1.48861	0.66959	0.01785	0.98784	0.98666	0.99523	0.97956	0.99741	0.99650
YEL064C	YEL064C	4	52	7.10978	4.16923	0.05154	0.98240	0.97455	0.99143	0.99532	0.98694	1.02609
SIT1	YEL065W	4	52	2.27450	1.19128	0.02688	0.98648	0.98683	1.00233	0.97842	0.99072	1.00530
HPA3	YEL066W	4	52	6.46454	3.81261	0.04551	0.98666	0.98448	0.99259	1.00136	0.99980	1.02998
YEL067C	YEL067C	4	52	3.09998	1.74409	0.03109	0.99636	0.99389	1.00706	0.98485	0.99441	1.01595
YEL068C	YEL068C	4	52	3.26388	1.85255	0.02539	0.98572	0.98896	1.00189	0.98428	0.98967	1.00967
DLD3	YEL071W	4	52	4.79864	2.83241	0.03135	0.97738	0.98955	0.99553	0.97662	1.00796	0.99382
YEL072W	YEL072W	4	52	3.12530	1.76088	0.05098	0.97637	0.98660	0.98598	0.98993	0.98481	1.02735
mnn1	YER001W	4	52	6.44280	3.80037	0.03738	0.98389	0.98690	1.00343	0.98775	0.98663	1.02127
YER002W	YER002W	2	26	3.33518	1.57956	0.01538	0.98711	0.99294	1.00249	0.99351	0.99618	0.98988
PMI40	YER003C	4	52	6.04548	3.57425	0.04775	0.98182	0.98812	0.99732	0.98376	0.99145	1.02957
YER004W	YER004W	2	26	8.64918	3.59404	0.13139	0.96876	0.98999	0.96340	1.03205	1.00567	1.09479
YND1	YER005W	4	52	6.54496	3.85773	0.02545	0.98162	0.98734	0.98980	0.99558	1.00708	1.00578
YER006W	YER006W	4	52	5.12954	3.03413	0.03464	0.97914	0.98058	0.98731	0.99460	0.99826	1.01378
YER007C-A	YER007C-A	4	52	4.43761	2.60833	0.02900	0.98236	0.97390	0.99827	0.96927	0.97555	0.97976
PAC2	YER007W	4	52	9.01664	5.15472	0.06490	0.97696	1.01161	0.98739	0.98504	1.01819	1.04186
sec3	YER008C	2	26	16.76122	5.49323	0.03074	1.00806	0.98641	1.01455	0.99121	0.98969	1.01715
NTF2	YER009W	4	52	3.63044	2.09278	0.02303	0.98302	0.97641	0.99745	0.98498	0.98279	0.99944
YER010C	YER010C	3	39	2.08827	1.02436	0.02380	0.98155	0.98431	0.99575	0.98899	0.98778	1.00535
TIR1	YER011W	2	26	3.18129	1.50484	0.03422	0.97197	0.97964	0.97835	1.00620	1.00238	1.00217
pre1	YER012W	2	26	0.68374	0.19265	0.01378	0.97962	0.99340	0.99236	0.98327	0.98860	0.98755
prp22	YER013W	4	52	2.23869	1.16721	0.04258	0.97726	0.98052	0.98524	0.98292	0.98804	1.01984
BUD25	YER014C-A	4	52	7.55327	4.40730	0.03436	0.98613	0.98816	0.99946	0.97873	0.99291	1.01309
HEM14	YER014W	2	26	6.21810	2.78989	0.03965	0.97288	0.99861	0.99166	1.00234	1.01253	0.99306
BIM1	YER016W	4	52	2.62838	1.42915	0.02122	0.99187	0.99420	1.00890	0.98927	0.99669	1.01049
AFG3	YER017C	4	52	6.22652	3.67789	0.03853	0.98740	0.99304	1.00391	0.99342	1.00709	1.02593
SPC25	YER018C	4	52	10.24563	5.74099	0.05564	0.97005	0.98954	0.98586	0.97767	1.00981	1.02569
SBH2	YER019C-A	4	52	3.11655	1.75508	0.02411	0.99350	0.99060	1.01001	0.98590	0.99580	1.00932
ISC1	YER019W	4	52	10.27699	5.75550	0.02594	0.98998	0.99359	1.00920	0.98326	1.00357	1.00134
gpa2	YER020W	4	52	13.60725	7.18178	0.03330	0.98019	0.99926	1.00874	0.97811	1.01141	1.00816
RPN3	YER021W	4	52	4.42966	2.60335	0.03720	0.97708	0.98132	0.99758	0.97771	1.00130	1.01428
SRB4	YER022W	4	52	5.75376	3.40511	0.03182	0.98509	0.97551	1.00632	1.00733	0.99196	1.00324
pro3	YER023W	4	52	3.49604	2.00511	0.01888	0.99131	0.99223	1.00649	1.00122	1.00976	1.01020
YER024W	YER024W	4	52	3.79252	2.19785	0.02663	0.98979	0.98441	1.01073	0.98995	1.00123	1.01105
gcd11	YER025W	4	52	5.27903	3.12410	0.04336	0.96442	0.97473	0.98246	0.96068	0.97572	1.00403
GAL83	YER027C	6	78	1.28701	0.55263	0.01446	0.99409	1.00734	0.99288	1.00723	1.00529	1.00504
YER028C	YER028C	4	52	7.40306	4.32729	0.03832	0.99033	0.99157	1.01267	1.01019	1.01317	1.02866
YER030W	YER030W	2	26	11.41252	4.34749	0.04155	0.97848	0.99421	1.00172	1.01549	1.01507	1.02003
YPT31	YER031C	0	0									
FIR1	YER032W	4	52	17.81549	8.72032	0.05215	0.99861	0.98881	1.01882	0.96667	0.98161	0.99911
ZRG8	YER033C	4	52	8.70314	4.99931	0.03679	0.98262	0.98756	1.00906	0.98973	0.99436	1.01941
YER034W	YER034W	2	26	10.87558	4.21180	0.06889	1.00005	0.95054	1.01943	0.96512	0.96523	1.01122
EDC2	YER035W	4	52	16.60494	8.30318	0.04193	0.98762	0.98422	1.01841	0.99165	0.99794	1.02615
YER036C	YER036C	4	52	9.25028	5.26894	0.03319	0.99000	1.00309	1.01929	0.98968	1.00044	1.02287
PHM8	YER037W	8	104	3.10391	1.90449	0.02228	0.98339	0.98726	0.99695	0.99023	0.99384	1.00568
YER038C	YER038C	4	52	12.14248	6.58077	0.03588	0.98961	0.99340	1.01691	1.00233	1.01259	1.02549
YER038W-A	YER038W-A	4	52	5.85163	3.46215	0.04205	0.98683	0.98562	1.00833	0.99068	0.99310	1.02767
HVG1	YER039C	2	26	11.94752	4.47822	0.05479	0.98393	0.97475	1.01653	0.96309	0.99641	1.01788
YER039C-A	YER039C-A	2	26	5.51745	2.52554	0.05128	1.04494	1.02436	1.01680	1.03241	1.00751	0.99366
gln3	YER040W	4	52	10.78360	5.98679	0.04225	0.98358	0.99442	1.00630	1.00858	1.01185	1.02583
YER041W	YER041W	4	52	8.89101	5.09274	0.04224	0.99031	0.99324	1.01483	1.01098	1.01485	1.03254
MXR1	YER042W	4	52	9.74879	5.50826	0.05197	0.98521	0.99136	1.00757	0.97564	0.98907	1.02761
SAH1	YER043C	4	52	2.54108	1.37053	0.02187	0.99605	0.99236	1.00293	0.98529	1.00716	1.00275
BUD18	YER044C	4	52	4.34254	2.54864	0.02430	0.98732	0.98847	1.01162	0.98880	1.00543	1.00544
mei4	YER044C-A	3	39	6.01939	3.24409	0.05907	0.98222	0.98368	1.00730	0.99553	0.99509	1.04129
YER045C	YER045C	4	52	6.92713	4.06953	0.03962	0.97722	0.99281	1.00064	0.99836	1.01683	1.00682
YER046W	YER046W	4	52	5.70614	3.37724	0.04828	0.97744	0.99369	1.00415	0.98742	0.98821	1.02573
YER046W-A	YER046W-A	4	52	6.88543	4.04663	0.02543	0.99263	0.98723	1.01266	0.99942	0.99849	1.00801
SAP1	YER047C	2	26	7.13721	3.11286	0.12337	0.97733	0.97833	0.97700	1.01619	1.02709	1.10036
CAJ1	YER048C	4	52	4.39393	2.58094	0.03157	0.99209	0.98751	1.00801	1.00400	1.00976	1.01907
YER048W-A	YER048W-A	4	52	0.63099	0.16936	0.01779	1.00915	1.01195	0.99981	1.01760	1.00920	1.01323
YER049W	YER049W	2	26	38.48887	8.27083	0.08971	0.97094	0.99608	0.97709	1.03608	1.00448	1.06065
RSM18	YER050C	4	52	5.84222	3.45668	0.04152	0.99820	0.99786	1.02050	0.97898	0.98265	1.00619
YER051W	YER051W	2	26	11.20596	4.29583	0.05108	0.98807	0.97343	1.01625	0.96996	0.96517	1.01444
hom3	YER052C	2	26	22.94817	6.50222	0.04742	0.97951	0.99863	0.99603	1.02692	1.02348	1.02333
YER053C	YER053C	4	52	5.87697	3.47688	0.03063	0.97932	0.99160	1.00741	0.99409	1.00749	1.00995
GIP2	YER054C	4	52	3.59554	2.07006	0.02961	1.00284	0.99600	1.02280	1.00022	1.00134	1.02561
his1	YER055C	4	52	5.12447	3.03106	0.02878	0.98831	0.98145	1.00564	0.99600	0.99706	1.01024
fcy2	YER056C	4	52	4.81131	2.84019	0.03417	0.97996	0.98585	1.00358	0.98719	0.99483	1.01413
RPL34A	YER056C-A	4	52	18.74637	9.02879	0.06808	0.93664	0.98353	0.96097	0.92171	0.97139	0.98980
HIG1	YER057C	4	52	4.80805	2.83819	0.02783	0.98859	0.98488	1.00304	0.99832	1.00390	1.01271
PET117	YER058W	4	52	2.00709	1.01181	0.01715	0.99339	0.99416	1.00088	0.99881	0.99756	1.01054
PCL6	YER059W	4	52	5.06986	2.99800	0.03879	0.99031	0.97664	1.01367	0.99154	0.99631	1.01543
FCY21	YER060W	4	50	4.23882	2.45936	0.04091	1.00493	0.98436	1.02149	1.00116	0.99370	1.02527
FCY22	YER060W-A	4	52	5.43167	3.21524	0.03876	0.99240	0.98663	1.00636	1.01312	1.01004	1.02539
CEM1	YER061C	4	52	4.63607	2.73202	0.03598	0.99176	0.98121	1.00302	1.00266	0.99948	1.01718
HOR2	YER062C	4	52	7.61730	4.44121	0.03730	0.99209	0.98150	1.01412	0.99697	0.98472	1.01880
THO1	YER063W	2	26	7.95078	3.37886	0.03097	0.98688	0.98896	1.00126	1.01785	1.01673	1.01615
YER064C	YER064C	4	52	1.89482	0.93682	0.03047	0.99340	0.98768	1.00980	0.97932	0.99696	0.99933
ICL1	YER065C	4	52	3.48268	1.99636	0.04122	0.98932	0.98204	1.00457	0.96380	0.98470	1.00501
YER066C-A	YER066C-A	4	52	4.16903	2.43897	0.03356	0.98399	0.98075	0.99067	0.96351	0.96926	0.99707
YER066W	YER066W	4	52	4.34234	2.54851	0.02097	0.98210	0.98161	1.00257	0.99240	0.98983	0.99955
YER067C-A	YER067C-A	4	52	3.83870	2.22765	0.02618	0.98671	0.98553	1.00735	0.98394	0.98116	1.00305
YER067W	YER067W	2	26	8.77057	3.63029	0.04238	0.97851	0.99570	0.99700	1.00971	1.02089	1.00188
YER068C-A	YER068C-A	3	39	2.33742	1.17955	0.04479	0.98413	0.97881	0.99519	1.00611	1.00840	1.02361
MOT2	YER068W	4	52	6.73435	3.96324	0.05790	0.97931	0.98764	1.00086	0.97463	0.99067	1.03253
"arg5,6"	YER069W	4	52	1.70811	0.81298	0.02138	0.97402	0.97325	0.98984	0.97334	0.97542	0.99464
RNR1	YER070W	4	52	2.05498	1.04388	0.03776	0.97131	0.98245	0.97939	0.97779	0.99053	1.00907
YER071C	YER071C	4	52	1.31931	0.56146	0.01919	0.98233	0.98991	0.99550	0.99150	0.99620	1.00152
VTC1	YER072W	4	52	2.43318	1.29799	0.03794	0.97516	0.97909	0.98925	0.99689	0.99005	1.01309
ALD5	YER073W	3	39	23.19210	8.75360	0.09938	0.96448	0.99535	0.99061	0.93528	0.98650	1.03466
RPS24A	YER074W	4	52	57.89456	17.02785	0.12142	0.87723	0.97705	0.89396	0.88098	0.96311	0.99865
PTP3	YER075C	4	52	10.07077	5.65972	0.06753	0.97295	0.97877	0.97946	1.01403	0.99925	1.04048
YER077C	YER077C	2	26	23.14422	6.53032	0.08407	0.96121	1.03378	0.99407	0.96846	1.01768	1.04527
YER078C	YER078C	3	39	8.08694	4.19921	0.04129	0.99073	0.98188	1.01352	0.98492	0.99271	1.02318
YER079W	YER079W	4	52	1.57636	0.72656	0.02014	0.97638	0.98743	0.99201	0.98729	0.99548	0.99652
YER080W	YER080W	4	52	4.83011	2.85174	0.04407	0.99247	0.98840	1.01668	0.97260	0.98974	1.00327
SER3	YER081W	4	52	0.50511	0.11312	0.00974	0.98824	0.99250	0.99431	0.98457	0.98770	0.98979
YER082C	YER082C	4	52	4.31045	2.52843	0.03475	0.98281	0.98722	0.99714	0.98434	0.98883	1.01757
YER083C	YER083C	4	52	3.42213	1.95669	0.03026	0.98892	0.99412	1.00676	0.99023	0.98374	1.01400
YER084W	YER084W	4	52	5.57791	3.30185	0.05553	0.97326	0.97662	0.99666	0.98281	0.97748	1.02879
YER085C	YER085C	4	52	3.29994	1.87634	0.02603	0.98527	0.98932	1.00047	1.00164	1.00330	1.01130
ilv1	YER086W	4	52	1.60068	0.74244	0.01733	0.98843	0.99649	1.00576	0.98906	0.99590	0.99522
SBH1	YER087C-A	4	52	4.41253	2.59261	0.02986	0.99394	0.98991	1.00912	0.97926	0.98852	1.00719
YER087W	YER087W	4	52	1.12458	0.44100	0.02236	0.97978	0.98952	0.98871	0.97555	0.99110	0.99790
DOT6	YER088C	4	52	6.54850	3.85972	0.05875	1.01530	1.00375	1.04671	1.00505	0.98796	1.01924
PTC2	YER089C	4	52	5.29931	3.13625	0.03822	0.97629	0.97320	0.99665	0.96360	0.96975	1.00182
trp2	YER090W	2	26	3.45731	1.63807	0.04389	0.98526	0.98112	1.00338	1.00860	1.00146	1.02501
met6	YER091C	4	52	1.06581	0.40573	0.01883	0.98997	0.99922	1.00469	0.98705	0.99599	1.00588
YER091C-A	YER091C-A	2	26	6.41586	2.86156	0.04873	1.00540	1.01846	0.99852	0.98434	0.96974	0.98829
YER092W	YER092W	2	26	13.39626	4.81202	0.03967	0.98575	0.97542	1.01509	0.98158	1.00789	0.99215
YER093C	YER093C	2	26	9.50657	3.84336	0.03155	0.99746	0.98867	1.02022	1.01737	1.01670	1.00265
YER093C-A	YER093C-A	3	39	1.06877	0.40103	0.02835	0.99415	0.98379	1.01214	1.00130	0.99232	1.00892
PUP3	YER094C	4	52	2.74491	1.50728	0.02745	0.97383	0.95549	0.98294	0.96951	0.95601	0.96911
rad51	YER095W	4	50	1.80832	0.87542	0.02635	0.98041	0.98983	0.99414	0.99711	1.00281	1.00675
shc1	YER096W	4	52	2.87772	1.59611	0.02284	0.98609	0.99521	1.00378	0.99339	1.00264	1.00893
YER097W	YER097W	4	52	3.37307	1.92447	0.03221	0.99409	0.98607	1.00086	0.97841	0.98803	1.01062
UBP9	YER098W	4	52	4.22481	2.47433	0.03240	0.99023	0.98457	0.99812	0.99466	0.97228	1.00468
AST2	YER101C	4	52	4.53303	2.66796	0.05012	0.97139	0.98784	1.00423	1.00212	0.99876	1.02151
SSA4	YER103W	4	52	7.26307	4.25215	0.03517	0.98476	0.97650	1.01168	0.99119	0.99159	0.99877
RTT105	YER104W	2	26	22.12800	6.38245	0.08030	0.99263	0.97401	1.01526	0.95841	0.93496	1.00604
YER106W	YER106W	4	52	9.71227	5.49092	0.05462	0.95925	0.97183	0.98525	0.97743	0.98722	1.01387
GLE2	YER107C	4	52	5.96508	3.52791	0.03809	0.97689	0.99276	0.99498	0.99981	1.01499	1.00038
YER108C	YER108C	4	52	4.32203	2.53573	0.05204	0.97723	0.99496	0.99533	0.98730	1.00080	1.02927
FLO8	YER109C	4	52	175.92549	26.29911	0.26755	0.97168	0.82825	0.99805	0.97947	0.73050	0.88284
KAP123	YER110C	4	52	6.16850	3.64479	0.04146	0.97718	0.99530	0.99827	1.00657	1.00728	1.01864
SWI4	YER111C	4	52	19.15208	9.16008	0.05097	0.97259	0.98838	0.99046	1.00869	1.02356	1.00600
LSM4	YER112W	4	52	4.94293	2.92080	0.04309	0.97419	0.98740	0.98759	1.01087	1.01728	1.01274
YER113C	YER113C	2	26	11.83913	4.45208	0.05306	0.97004	0.97917	0.97959	1.02310	1.00888	1.01784
BOI2	YER114C	4	52	3.76139	2.17773	0.02233	0.98433	0.98680	1.00260	1.00036	1.00666	1.00493
spr6	YER115C	4	52	3.49967	2.00748	0.02962	0.98188	0.98054	1.01015	0.98471	0.99369	1.00227
YER116C	YER116C	4	52	6.45611	3.80787	0.03245	0.97989	0.99210	0.99797	1.00234	1.01233	1.01157
RPL23B	YER117W	4	52	23.51364	10.46480	0.08391	0.91348	0.95299	0.92977	0.91687	0.95401	0.99739
SHO1	YER118C	4	52	3.58810	2.06521	0.04962	0.98543	0.99395	1.00969	0.99924	1.01001	1.03504
YER119C	YER119C	4	52	14.49308	7.52741	0.04713	0.97689	0.98358	0.99049	1.01480	1.01038	1.02402
YER119C-A	YER119C-A	4	52	4.23049	2.47793	0.02222	0.98846	0.98171	1.00393	0.99334	0.99648	1.00303
SCS2	YER120W	4	52	13.48377	7.13257	0.04528	0.97452	0.99079	0.99296	1.00768	1.01980	1.01510
YER121W	YER121W	3	39	8.67193	4.44726	0.06043	0.97377	0.97365	0.99008	1.01724	1.00812	1.03408
GLO3	YER122C	3	39	2.98747	1.57851	0.05469	0.97839	0.96606	0.98122	1.00208	0.98602	1.02075
YCK3	YER123W	4	52	4.43598	2.60731	0.03508	0.97788	0.98039	1.00089	1.00255	1.00568	1.01296
YER124C	YER124C	4	52	10.80773	5.99767	0.05462	0.97161	0.98692	0.98860	1.02350	1.01657	1.02623
RSP5	YER125W	4	52	11.12699	6.14043	0.03438	0.97903	0.97841	0.99473	1.01158	1.00827	1.01279
